Customer_Age,Gender,Dependent,Education,Marital,Income,KCategory,onBook,Relationship,Inactive,ContactNum,CLimit,Revolving,Open,Amt_41,TransAmt,TransCt,Ct_41,Utilization,Importance,MustHave,Group,Essential,DropLevel,Class
41,F,2,Unknown,Married,Unknown,Blue,21,2,3,1,12682.54635,774,14746,1.331479867,1146.726149,127,0.628,0.063747226,0.187123955,91,4,9.321511836,2,1
55,M,3,Post-Graduate,Unknown,$120K +,Blue,40,3,1,4,12663.84482,779,14326,1.335605368,1143.720166,67,0.914,0.064382484,0.866745663,31,0,9.49689309,1,1
53,F,2,Graduate,Married,$40K - $60K,Blue,42,3,5,1,12648.47591,779,1375,1.334436462,1145.281665,89,0.679,0.057631771,0.48000168,75,4,7.12041697,2,1
40,M,3,Uneducated,Married,$80K - $120K,Blue,34,4,3,2,12698.61583,782,12797,1.331722888,1144.227271,111,0.85,0.065623844,0.999413084,30,2,9.103962891,9,1
43,F,4,Unknown,Single,Less than $40K,Blue,33,3,3,1,12713.86467,774,308,1.336543292,1145.688723,69,0.568,0.063943632,0.820798748,19,2,1.620012558,6,1
40,F,3,Graduate,Married,Less than $40K,Blue,29,6,2,4,12670.43953,776,1021,1.334955659,1147.76774,44,0.517,0.060168994,0.662940674,68,1,6.859316506,5,2
44,F,3,Doctorate,Married,Less than $40K,Blue,36,4,3,0,12691.51369,780,711,1.335611664,1139.930376,63,0.8,0.06301387,0.923574396,7,2,4.946421547,1,1
42,M,3,Graduate,Married,$60K - $80K,Blue,29,3,3,1,12671.62646,779,9777,1.337918047,1142.779322,87,0.611,0.061401943,0.625553579,79,4,3.144165061,1,1
42,F,2,Graduate,Single,Less than $40K,Blue,32,2,2,2,12689.23047,773,806,1.332282127,1147.762419,71,0.69,0.059955705,0.223400171,92,1,5.969405121,3,1
59,F,2,Uneducated,Married,Less than $40K,Blue,36,6,3,2,12698.06503,777,3850,1.332680858,1140.040837,117,0.918,0.06263645,0.307858743,45,5,6.807774362,2,1
40,M,3,High School,Married,$40K - $60K,Blue,33,4,3,3,12677.42152,777,5883,1.333967636,1144.603875,11,0.833,0.056559856,0.490418858,44,5,5.010696156,5,1
57,M,2,Unknown,Single,$80K - $120K,Blue,38,6,1,3,12709.25894,778,20728,1.336638946,1140.924351,36,0.636,0.062737521,0.494858242,19,2,9.711091379,6,1
45,M,2,Unknown,Single,$40K - $60K,Blue,40,6,4,3,12729.10849,774,7037,1.336646539,1147.513334,71,0.69,0.057381692,0.309603191,19,2,0.505930462,3,1
65,M,1,Unknown,Single,$40K - $60K,Blue,56,6,2,4,12664.12943,781,12046,1.337837275,1145.26923,54,0.862,0.059261606,0.749314738,83,1,0.775615157,10,1
48,F,2,Unknown,Single,Unknown,Blue,38,4,4,3,12650.25753,775,1417,1.337382402,1141.031903,62,0.879,0.058509405,0.830119859,68,2,6.011856259,10,1
44,F,3,Doctorate,Married,Less than $40K,Blue,38,6,1,3,12683.70704,776,7222,1.338562482,1148.687288,18,0.5,0.059979275,0.772478994,86,0,9.97998925,4,2
50,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,12736.96446,773,1692,1.332829221,1144.849038,66,0.941,0.060031985,0.298008089,46,1,8.689436565,1,1
47,F,3,Unknown,Married,Less than $40K,Blue,37,2,2,2,12726.43641,775,526,1.330951216,1147.386173,74,0.762,0.062603116,0.189235308,30,4,1.610449684,2,1
43,M,1,Post-Graduate,Unknown,$60K - $80K,Blue,37,4,3,4,12645.52493,774,2984,1.33473712,1148.523244,75,0.667,0.060788113,0.282180735,76,3,5.986712933,0,1
44,F,3,Graduate,Married,Unknown,Blue,31,5,2,0,12739.0434,773,22883,1.332711452,1139.953083,38,0.727,0.059537447,0.454126964,25,5,6.531746434,5,1
54,M,1,Uneducated,Married,$80K - $120K,Blue,43,3,1,4,12703.89496,782,24183,1.332865225,1144.110433,48,0.371,0.062607505,0.342192919,16,1,1.504227201,5,1
27,F,1,Post-Graduate,Married,Less than $40K,Blue,13,3,2,2,12717.36049,775,448.3,1.332840475,1142.277688,73,1.147,0.065242243,0.804353006,44,4,4.631082718,8,1
35,F,3,Graduate,Single,Less than $40K,Blue,23,6,3,1,12666.74446,779,841,1.335622778,1143.147244,79,0.927,0.057175687,0.740017624,45,3,1.28446152,1,1
49,M,1,High School,Married,$60K - $80K,Blue,36,2,3,2,12683.41286,775,1131,1.332216817,1146.932599,83,0.766,0.065306871,0.431525797,7,4,0.439110226,4,1
52,F,2,High School,Married,Less than $40K,Blue,41,4,2,2,12708.88016,775,3206,1.338343604,1139.0704,62,0.59,0.064595458,0.120838591,3,0,3.045589628,8,1
57,F,0,High School,Married,$40K - $60K,Blue,45,3,2,2,12647.72094,773,1433,1.336662443,1139.868119,45,0.8,0.0578132,0.82640892,21,4,6.470869766,9,1
48,M,4,Unknown,Married,$80K - $120K,Blue,41,2,3,6,12649.56301,778,3449,1.330589151,1144.950391,35,0.346,0.056811741,0.984075704,27,3,3.11823527,4,2
40,M,3,High School,Married,$60K - $80K,Blue,28,2,3,1,12677.4092,782,9111,1.330493458,1142.732178,113,0.766,0.05951217,0.885640133,7,3,0.390763164,8,1
46,F,3,College,Married,Less than $40K,Blue,40,6,4,2,12645.35587,776,1438.3,1.331580679,1146.314932,88,0.833,0.061932127,0.896603047,74,5,9.368346299,1,1
40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,1,3,12720.81116,779,34516,1.330906672,1140.188111,26,0.3,0.056816841,0.693423432,96,1,7.918890062,3,2
47,F,4,Graduate,Single,$40K - $60K,Blue,37,4,1,1,12651.35856,779,735.3,1.334543202,1141.385111,80,0.951,0.063291957,0.162255303,96,0,6.166725937,7,1
40,F,3,Graduate,Single,Less than $40K,Blue,27,5,3,4,12737.6212,777,5763,1.332938213,1142.816897,70,0.842,0.056228596,0.054635985,46,1,8.639298286,1,1
48,F,3,College,Divorced,Less than $40K,Blue,36,4,3,3,12731.71076,773,490,1.330569918,1143.415228,33,0.269,0.065352156,0.377525797,52,4,9.077381232,2,1
51,F,3,Unknown,Single,Less than $40K,Blue,39,5,1,3,12684.05177,772,2990,1.339804519,1145.536749,76,0.767,0.065816278,0.218064786,24,2,0.431320667,3,1
49,F,2,Graduate,Single,Less than $40K,Blue,31,5,1,2,12698.37862,779,4505,1.333270858,1147.807165,27,0.588,0.062764277,0.258487172,61,4,3.622264844,7,2
38,M,2,Unknown,Single,$80K - $120K,Blue,28,4,3,2,12680.38169,773,19038,1.336139002,1144.719476,31,0.632,0.059717355,0.387367638,12,3,3.269196907,6,1
36,F,3,Graduate,Single,$40K - $60K,Blue,18,4,3,3,12657.77623,774,920,1.33569018,1142.566085,73,0.49,0.057252183,0.235511959,13,2,2.841437813,8,1
46,F,4,College,Married,$40K - $60K,Blue,33,4,1,1,12711.89589,782,1994,1.334996775,1145.296513,80,0.739,0.05759051,0.248259351,44,1,3.56349895,5,1
55,M,0,Doctorate,Married,$60K - $80K,Blue,36,4,6,4,12693.67939,778,4074,1.332224656,1144.131226,66,0.886,0.059172783,0.648248716,38,4,3.220420666,6,1
51,M,3,Graduate,Married,$60K - $80K,Blue,43,6,1,3,12698.11468,777,663,1.338415834,1145.705985,69,0.605,0.064768712,0.299835676,6,1,2.005900926,7,1
45,M,5,High School,Married,$60K - $80K,Blue,37,3,1,3,12645.73238,778,14478,1.330793943,1139.531151,65,0.711,0.062681235,0.250034692,59,4,7.594457262,0,1
32,M,0,Graduate,Divorced,$40K - $60K,Blue,36,2,1,1,12652.02718,773,6220,1.331866804,1147.598166,104,0.733,0.061500012,0.651898726,11,3,4.40171442,9,1
49,F,4,Doctorate,Single,$40K - $60K,Blue,39,5,3,1,12703.14443,774,2652,1.330571194,1141.945792,62,0.824,0.065806955,0.251056223,24,5,8.47002778,2,1
59,M,1,Graduate,Married,$40K - $60K,Blue,36,6,2,2,12723.82776,782,335,1.337482544,1139.264637,27,0.688,0.061255522,0.757536476,16,5,8.270966089,1,1
51,M,1,Unknown,Married,$60K - $80K,Blue,36,3,2,4,12701.21027,779,21245,1.332388113,1147.236706,69,1.156,0.06492431,0.848670057,10,2,0.193930661,9,1
52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,12684.45044,780,1175,1.338728951,1144.114977,35,0.667,0.059242934,0.56401882,70,1,0.532354671,7,1
58,F,2,Graduate,Married,Less than $40K,Blue,39,3,4,3,12670.49645,773,3531,1.336279702,1139.642111,31,0.632,0.065331927,0.423709035,11,2,3.465612466,1,1
49,F,1,High School,Married,Less than $40K,Blue,42,1,3,1,12680.66445,777,868,1.330431382,1145.725351,72,0.636,0.058762586,0.651726373,5,3,1.398340414,5,1
39,M,3,Uneducated,Married,$40K - $60K,Blue,34,5,1,2,12687.95774,773,10391,1.330628616,1145.611339,52,1.167,0.062861068,0.782380931,41,1,8.761299973,1,1
53,M,1,High School,Married,$40K - $60K,Blue,43,1,2,3,12667.89553,775,3146,1.33729587,1139.815619,38,0.31,0.056492301,0.060478672,15,3,8.495799925,5,2
59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,12698.5287,779,2562,1.334814128,1148.87873,17,0.545,0.059247145,0.362406893,56,4,0.822168315,1,2
47,M,2,Post-Graduate,Single,$60K - $80K,Blue,39,1,3,2,12692.74892,773,16957,1.33384484,1140.088893,128,0.684,0.057165101,0.546379031,48,2,8.511637151,9,1
52,M,2,High School,Single,$60K - $80K,Gold,39,4,1,1,12722.32489,782,32634,1.331560486,1142.467826,116,0.758,0.057738466,0.835014031,75,2,0.305968802,4,1
47,F,2,High School,Single,Less than $40K,Blue,39,5,3,2,12718.22452,781,960,1.331968694,1144.032046,70,0.522,0.061581653,0.902653839,97,2,1.345395777,8,1
40,F,4,Graduate,Single,Less than $40K,Blue,25,4,2,3,12699.88355,781,1438.3,1.333714151,1144.407117,42,0.5,0.065962638,0.9172811,11,3,2.679979673,5,2
59,F,0,Graduate,Married,Less than $40K,Blue,53,4,5,1,12736.91865,779,537,1.335423451,1146.779246,84,0.647,0.06597572,0.891385246,50,3,2.673608041,7,1
40,M,2,College,Divorced,$60K - $80K,Blue,36,3,2,1,12660.56371,778,20304,1.332347406,1139.98109,85,0.667,0.056840783,0.519229153,47,4,1.346878736,2,1
53,F,2,Unknown,Married,Less than $40K,Blue,44,3,2,4,12724.14416,781,3519,1.332968587,1144.269876,33,0.65,0.056672797,0.654443303,8,1,0.651995889,8,1
34,M,1,High School,Single,$40K - $60K,Blue,25,4,1,2,12711.20635,778,652,1.338826257,1144.881933,88,0.76,0.057327459,0.790093833,78,2,0.068671081,4,1
40,M,4,Unknown,Married,$80K - $120K,Blue,31,1,3,6,12732.18754,780,23502,1.337435237,1147.701378,60,0.875,0.064417961,0.804334144,48,0,9.507525518,5,2
44,F,3,Graduate,Divorced,$40K - $60K,Blue,38,3,2,2,12722.54685,780,2417,1.330229186,1148.617388,75,0.63,0.059626752,0.394621946,13,2,3.050336322,7,1
46,F,3,High School,Married,Less than $40K,Blue,38,4,2,2,12664.17017,774,466,1.339113068,1144.976324,83,0.729,0.058841779,0.970474247,41,5,1.827143451,6,1
43,F,4,Unknown,Unknown,Unknown,Blue,34,5,3,3,12674.91678,778,11250,1.335024779,1148.166007,69,0.769,0.060798811,0.309414773,37,1,6.798944749,7,1
33,M,4,College,Single,$40K - $60K,Silver,20,2,1,3,12714.70196,775,15977,1.330799787,1141.178278,64,0.684,0.064146008,0.938921481,85,2,8.817268502,4,2
47,M,3,Uneducated,Single,$60K - $80K,Blue,36,3,3,2,12671.48538,773,17656,1.332429214,1142.010644,71,0.868,0.059011947,0.425323044,58,1,0.913891216,1,1
26,F,0,High School,Married,Less than $40K,Blue,18,5,3,2,12642.11704,777,4740,1.332230328,1143.152998,62,0.676,0.059246919,0.431635985,20,4,4.851398491,8,1
57,F,3,High School,Married,Less than $40K,Blue,39,3,2,1,12725.38292,775,421,1.336123769,1142.830474,32,0.6,0.065461041,0.382112136,79,4,1.668131949,0,1
42,F,1,Uneducated,Single,Less than $40K,Blue,35,4,3,3,12681.42005,777,3241,1.332687332,1148.732684,43,0.303,0.056267232,0.100006104,90,3,2.415123758,2,2
48,F,3,Graduate,Married,$40K - $60K,Silver,40,5,3,4,12693.75714,774,16703,1.337410414,1140.984841,69,0.816,0.064281657,0.659244687,17,2,0.757502012,9,1
52,F,1,Graduate,Single,Less than $40K,Blue,44,6,3,1,12710.03018,775,989,1.334485609,1142.904746,86,0.536,0.063342579,0.819813087,5,2,2.275800496,3,1
55,M,2,Graduate,Single,$80K - $120K,Blue,46,5,5,2,12729.63898,780,4994,1.336978031,1142.799971,81,0.761,0.058747134,0.277455138,22,1,9.206513684,4,1
53,F,4,Graduate,Single,Unknown,Gold,41,5,1,2,12662.8018,780,32142,1.335766124,1146.506828,77,0.604,0.064911584,0.131687301,25,4,9.509063227,3,1
58,M,3,Graduate,Married,$80K - $120K,Blue,54,4,3,3,12669.15404,774,17691,1.337856436,1143.030967,42,0.615,0.063767791,0.767860152,36,1,5.552208234,2,1
55,F,2,Unknown,Single,Less than $40K,Blue,36,3,3,2,12715.77911,775,863,1.335565298,1141.7505,81,0.884,0.06288713,0.007442884,14,2,9.867825973,8,1
50,M,3,Uneducated,Single,$80K - $120K,Blue,35,1,2,1,12649.59594,775,16611,1.338660303,1144.152967,74,0.721,0.06251677,0.00985572,67,0,6.123855584,9,1
49,M,0,Doctorate,Married,$60K - $80K,Blue,39,5,6,3,12707.14022,776,18324,1.334975618,1143.582022,73,0.738,0.061631664,0.978134175,89,4,0.194111627,5,1
55,F,2,Graduate,Married,Less than $40K,Blue,47,3,1,2,12732.26881,778,3280,1.334077141,1140.153935,34,0.7,0.059897914,0.41324424,44,0,8.891809815,1,1
50,M,1,High School,Single,$80K - $120K,Silver,36,4,5,3,12688.81738,780,34516,1.331280503,1146.432727,105,0.694,0.062806049,0.381754822,64,5,9.125361521,7,1
48,F,3,High School,Single,Less than $40K,Blue,40,1,3,3,12722.29981,772,1371,1.330668923,1146.649878,78,0.696,0.059065344,0.361010203,13,0,4.785050155,3,1
54,F,1,College,Single,Less than $40K,Blue,48,3,1,4,12703.96762,778,1357,1.331660323,1146.174081,53,0.71,0.063966889,0.982889537,72,5,9.613026845,3,1
39,F,4,Uneducated,Single,Less than $40K,Blue,36,5,3,1,12708.82141,780,953,1.336091857,1141.920306,64,0.6,0.064484349,0.143771697,47,0,7.101884957,0,1
37,F,3,High School,Married,Unknown,Blue,30,3,3,3,12737.39563,780,9874,1.339402257,1144.787354,47,0.567,0.057519692,0.221500039,14,4,2.92972019,3,2
52,F,1,Graduate,Married,Less than $40K,Blue,42,1,5,3,12699.66754,776,1471,1.33636204,1144.357173,48,0.455,0.060483586,0.290795786,9,3,1.654007741,6,2
54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,12694.35517,782,31831,1.338513734,1144.361236,31,0.824,0.056961091,0.93671426,41,1,6.929039843,5,1
43,M,2,Graduate,Unknown,$60K - $80K,Blue,25,5,3,1,12685.2576,777,7534,1.338525806,1144.679416,79,0.975,0.063434336,0.409773837,66,5,6.006203528,7,1
55,F,1,Unknown,Married,$40K - $60K,Blue,43,2,1,2,12658.45469,779,1695,1.333018853,1140.962467,77,0.711,0.060469198,0.089115276,42,4,6.331402451,1,1
59,M,1,Graduate,Single,$80K - $120K,Blue,54,2,5,4,12701.23453,781,15633,1.330095722,1145.468551,58,0.758,0.059868244,0.962955841,55,3,7.277715784,1,2
42,F,4,Unknown,Unknown,Less than $40K,Blue,34,5,3,2,12646.71248,780,533,1.33216965,1145.681005,70,0.75,0.065786827,0.130972157,57,0,1.183152079,5,1
43,F,3,High School,Married,Unknown,Blue,31,3,3,1,12697.85202,779,653,1.339152661,1146.346295,73,0.78,0.063137471,0.351243624,74,5,2.098558569,5,1
64,F,1,High School,Married,$40K - $60K,Blue,56,4,2,4,12702.31052,780,1438.3,1.33698278,1146.768962,35,0.591,0.062210744,0.315926267,89,4,6.701997426,7,1
46,F,3,Doctorate,Single,Less than $40K,Blue,36,5,1,4,12718.36672,777,1550,1.335437978,1148.330866,65,0.585,0.057893016,0.83303989,29,4,8.607390411,6,1
44,M,3,High School,Married,$60K - $80K,Blue,34,4,2,5,12679.66317,777,21158,1.335571786,1145.616581,67,0.811,0.059083237,0.478891876,45,1,4.139263035,10,1
39,F,1,Graduate,Single,$40K - $60K,Blue,32,3,3,1,12660.79623,782,2709,1.331215646,1147.042631,65,0.625,0.056632883,0.981758301,54,4,7.049500145,6,1
46,M,2,Graduate,Married,$60K - $80K,Blue,34,4,2,0,12699.11971,779,8171,1.338717173,1142.113333,79,0.975,0.05784031,0.570941288,25,1,3.897810357,1,1
35,F,3,Doctorate,Married,Less than $40K,Blue,30,5,2,2,12675.78897,776,2187,1.330649832,1147.288157,75,0.829,0.06146321,0.929527901,27,3,4.220349789,8,1
